spot1,spot2,date,amount
DC8,DC10,2021/11/6,12331
DC10,DC4,2021/11/6,58107
DC10,DC5,2021/11/6,3
DC10,DC8,2021/11/6,567
DC4,DC5,2021/11/7,3
DC4,DC8,2021/11/7,156
DC4,DC10,2021/11/7,109
DC7,DC4,2021/11/7,22
DC7,DC5,2021/11/7,2
DC7,DC8,2021/11/7,2376
DC7,DC10,2021/11/7,1820
DC8,DC4,2021/11/7,829
DC8,DC5,2021/11/7,4
DC8,DC9,2021/11/7,2
DC8,DC10,2021/11/7,15283
DC10,DC4,2021/11/7,44214
DC10,DC5,2021/11/7,2
DC10,DC8,2021/11/7,993
DC10,DC9,2021/11/7,2
DC4,DC8,2021/11/8,227
DC4,DC10,2021/11/8,167
DC7,DC4,2021/11/8,39
DC7,DC5,2021/11/8,5
DC7,DC8,2021/11/8,2518
DC7,DC10,2021/11/8,1894
DC8,DC3,2021/11/8,4
DC8,DC4,2021/11/8,261
DC8,DC5,2021/11/8,14
DC8,DC9,2021/11/8,7
DC8,DC10,2021/11/8,9688
DC10,DC4,2021/11/8,50067
DC10,DC5,2021/11/8,16
DC10,DC8,2021/11/8,1292
DC10,DC9,2021/11/8,1
DC4,DC8,2021/11/9,123
DC4,DC10,2021/11/9,468
DC7,DC4,2021/11/9,52
DC7,DC5,2021/11/9,21
DC7,DC8,2021/11/9,3535
DC7,DC10,2021/11/9,1684
DC8,DC4,2021/11/9,535
DC8,DC5,2021/11/9,105
DC8,DC9,2021/11/9,3
DC8,DC10,2021/11/9,14444
DC10,DC4,2021/11/9,37378
DC10,DC5,2021/11/9,111
DC10,DC8,2021/11/9,1074
DC4,DC5,2021/11/10,19
DC4,DC8,2021/11/10,325
DC4,DC10,2021/11/10,239
DC7,DC4,2021/11/10,22
DC7,DC5,2021/11/10,79
DC7,DC8,2021/11/10,2055
DC7,DC10,2021/11/10,697
DC8,DC4,2021/11/10,598
DC8,DC5,2021/11/10,7389
DC8,DC9,2021/11/10,8
DC8,DC10,2021/11/10,8560
DC10,DC3,2021/11/10,1
DC10,DC4,2021/11/10,32923
DC10,DC5,2021/11/10,2618
DC10,DC8,2021/11/10,1646
DC10,DC9,2021/11/10,5
DC4,DC5,2021/11/11,40
DC4,DC8,2021/11/11,138
DC4,DC10,2021/11/11,225
DC5,DC4,2021/11/11,15
DC5,DC8,2021/11/11,2
DC5,DC9,2021/11/11,2
DC5,DC10,2021/11/11,93
DC7,DC4,2021/11/11,38
DC7,DC5,2021/11/11,111
DC7,DC8,2021/11/11,3709
DC7,DC10,2021/11/11,837
DC8,DC4,2021/11/11,1161
DC8,DC5,2021/11/11,6387
DC8,DC9,2021/11/11,111
DC8,DC10,2021/11/11,17898
DC10,DC3,2021/11/11,7
DC10,DC4,2021/11/11,34429
DC10,DC5,2021/11/11,6336
DC10,DC8,2021/11/11,1443
DC10,DC9,2021/11/11,7
DC4,DC5,2021/11/12,74
DC4,DC8,2021/11/12,175
DC4,DC10,2021/11/12,232
DC5,DC4,2021/11/12,9
DC5,DC10,2021/11/12,47
DC7,DC4,2021/11/12,102
DC7,DC5,2021/11/12,136
DC7,DC8,2021/11/12,2821
DC7,DC10,2021/11/12,1605
DC8,DC4,2021/11/12,766
DC8,DC5,2021/11/12,7992
DC8,DC9,2021/11/12,17
DC8,DC10,2021/11/12,9639
DC10,DC4,2021/11/12,57604
DC10,DC5,2021/11/12,6903
DC10,DC8,2021/11/12,918
DC4,DC8,2021/11/13,50
DC4,DC10,2021/11/13,15
DC5,DC4,2021/11/13,19
DC5,DC10,2021/11/13,177
DC7,DC4,2021/11/13,28
DC7,DC5,2021/11/13,158
DC7,DC8,2021/11/13,2613
DC7,DC10,2021/11/13,860
DC8,DC4,2021/11/13,674
DC8,DC5,2021/11/13,4093
DC8,DC9,2021/11/13,5
DC8,DC10,2021/11/13,8222
DC10,DC4,2021/11/13,57719
DC10,DC5,2021/11/13,7369
DC10,DC8,2021/11/13,1045
DC4,DC8,2021/11/14,82
DC4,DC10,2021/11/14,27
DC5,DC4,2021/11/14,7
DC5,DC10,2021/11/14,65
DC7,DC4,2021/11/14,47
DC7,DC8,2021/11/14,2686
DC7,DC10,2021/11/14,629
DC8,DC4,2021/11/14,492
DC8,DC5,2021/11/14,249
DC8,DC9,2021/11/14,22
DC8,DC10,2021/11/14,15741
DC10,DC4,2021/11/14,61527
DC10,DC5,2021/11/14,36
DC10,DC8,2021/11/14,135
DC10,DC9,2021/11/14,3
DC4,DC8,2021/11/15,112
DC4,DC10,2021/11/15,399
DC5,DC10,2021/11/15,80
DC7,DC4,2021/11/15,21
DC7,DC8,2021/11/15,3545
DC7,DC10,2021/11/15,1524
DC8,DC4,2021/11/15,312
DC8,DC9,2021/11/15,10
DC8,DC10,2021/11/15,9646
DC9,DC8,2021/11/15,3
DC10,DC4,2021/11/15,36962
DC10,DC8,2021/11/15,1191
DC4,DC8,2021/11/16,181
DC4,DC10,2021/11/16,111
DC7,DC4,2021/11/16,47
DC7,DC8,2021/11/16,2774
DC7,DC10,2021/11/16,3609
DC8,DC4,2021/11/16,296
DC8,DC10,2021/11/16,23576
DC10,DC4,2021/11/16,40315
DC10,DC8,2021/11/16,548
DC10,DC9,2021/11/16,2
DC4,DC8,2021/11/17,81
DC4,DC10,2021/11/17,157
DC7,DC4,2021/11/17,19
DC7,DC8,2021/11/17,2081
DC7,DC10,2021/11/17,517
DC8,DC4,2021/11/17,289
DC8,DC9,2021/11/17,31
DC8,DC10,2021/11/17,21905
DC10,DC4,2021/11/17,30980
DC10,DC8,2021/11/17,390
DC4,DC8,2021/11/18,73
DC4,DC10,2021/11/18,146
DC7,DC4,2021/11/18,42
DC7,DC8,2021/11/18,2607
DC7,DC10,2021/11/18,1693
DC8,DC4,2021/11/18,144
DC8,DC9,2021/11/18,39
DC8,DC10,2021/11/18,12640
DC10,DC4,2021/11/18,59933
DC10,DC8,2021/11/18,333
DC10,DC9,2021/11/18,4
DC4,DC8,2021/11/19,66
DC4,DC10,2021/11/19,438
DC7,DC4,2021/11/19,27
DC7,DC8,2021/11/19,4017
DC7,DC10,2021/11/19,749
DC8,DC4,2021/11/19,493
DC8,DC9,2021/11/19,2
DC8,DC10,2021/11/19,21436
DC10,DC4,2021/11/19,54843
DC10,DC8,2021/11/19,269
DC10,DC9,2021/11/19,3
DC4,DC8,2021/11/20,18
DC4,DC10,2021/11/20,13
DC7,DC4,2021/11/20,19
DC7,DC8,2021/11/20,3789
DC7,DC10,2021/11/20,782
DC8,DC4,2021/11/20,149
DC8,DC10,2021/11/20,8939
DC9,DC10,2021/11/20,1
DC10,DC3,2021/11/20,3
DC10,DC4,2021/11/20,52079
DC10,DC8,2021/11/20,751
DC4,DC8,2021/11/21,6
DC4,DC10,2021/11/21,10
DC7,DC4,2021/11/21,27
DC7,DC8,2021/11/21,4053
DC7,DC10,2021/11/21,1510
DC8,DC4,2021/11/21,249
DC8,DC10,2021/11/21,24632
DC10,DC4,2021/11/21,32896
DC10,DC8,2021/11/21,144
DC4,DC8,2021/11/22,46
DC4,DC10,2021/11/22,44
DC7,DC4,2021/11/22,13
DC7,DC8,2021/11/22,2448
DC7,DC10,2021/11/22,1429
DC8,DC4,2021/11/22,482
DC8,DC9,2021/11/22,7
DC8,DC10,2021/11/22,11056
DC10,DC4,2021/11/22,46816
DC10,DC8,2021/11/22,303
DC10,DC9,2021/11/22,2
DC4,DC8,2021/11/23,73
DC4,DC10,2021/11/23,504
DC7,DC4,2021/11/23,28
DC7,DC8,2021/11/23,3715
DC7,DC10,2021/11/23,664
DC8,DC4,2021/11/23,315
DC8,DC10,2021/11/23,27936
DC10,DC4,2021/11/23,39950
DC10,DC8,2021/11/23,615
DC4,DC8,2021/11/24,189
DC4,DC10,2021/11/24,363
DC7,DC4,2021/11/24,10
DC7,DC8,2021/11/24,2346
DC7,DC10,2021/11/24,1870
DC8,DC4,2021/11/24,451
DC8,DC10,2021/11/24,20477
DC10,DC4,2021/11/24,44195
DC10,DC8,2021/11/24,455
DC10,DC9,2021/11/24,3
DC4,DC8,2021/11/25,38
DC4,DC10,2021/11/25,235
DC7,DC4,2021/11/25,9
DC7,DC8,2021/11/25,2704
DC7,DC10,2021/11/25,1188
DC8,DC4,2021/11/25,431
DC8,DC10,2021/11/25,30862
DC10,DC4,2021/11/25,42870
DC10,DC8,2021/11/25,638
DC4,DC8,2021/11/26,127
DC4,DC10,2021/11/26,158
DC7,DC4,2021/11/26,18
DC7,DC8,2021/11/26,3571
DC7,DC10,2021/11/26,532
DC8,DC4,2021/11/26,163
DC8,DC10,2021/11/26,28178
DC10,DC4,2021/11/26,41202
DC10,DC8,2021/11/26,258
DC4,DC8,2021/11/27,4
DC4,DC10,2021/11/27,4
DC7,DC4,2021/11/27,4
DC7,DC8,2021/11/27,522
DC7,DC10,2021/11/27,153
DC8,DC4,2021/11/27,166
DC8,DC10,2021/11/27,9127
DC10,DC4,2021/11/27,25626
DC10,DC8,2021/11/27,394
DC4,DC8,2021/11/28,2
DC4,DC10,2021/11/28,10
DC7,DC4,2021/11/28,16
DC7,DC8,2021/11/28,3931
DC7,DC10,2021/11/28,605
DC8,DC4,2021/11/28,120
DC8,DC10,2021/11/28,11388
DC10,DC4,2021/11/28,37159
DC10,DC8,2021/11/28,239
DC4,DC8,2021/11/29,69
DC4,DC10,2021/11/29,148
DC7,DC4,2021/11/29,8
DC7,DC8,2021/11/29,1848
DC7,DC10,2021/11/29,582
DC8,DC4,2021/11/29,505
DC8,DC10,2021/11/29,13155
DC10,DC4,2021/11/29,22314
DC10,DC8,2021/11/29,792
DC4,DC8,2021/11/30,77
DC4,DC10,2021/11/30,10
DC7,DC4,2021/11/30,15
DC7,DC8,2021/11/30,3580
DC7,DC10,2021/11/30,1186
DC8,DC4,2021/11/30,490
DC8,DC9,2021/11/30,3
DC8,DC10,2021/11/30,17681
DC10,DC4,2021/11/30,34792
DC10,DC5,2021/11/30,2
DC10,DC8,2021/11/30,347
DC4,DC8,2021/12/1,74
DC4,DC10,2021/12/1,186
DC7,DC8,2021/12/1,3556
DC7,DC10,2021/12/1,772
DC8,DC4,2021/12/1,367
DC8,DC9,2021/12/1,2
DC8,DC10,2021/12/1,23071
DC10,DC4,2021/12/1,33329
DC10,DC8,2021/12/1,284
DC4,DC8,2021/12/2,208
DC4,DC10,2021/12/2,449
DC7,DC4,2021/12/2,3
DC7,DC8,2021/12/2,1304
DC7,DC10,2021/12/2,590
DC8,DC4,2021/12/2,261
DC8,DC10,2021/12/2,19795
DC10,DC4,2021/12/2,46374
DC10,DC8,2021/12/2,267
DC4,DC8,2021/12/3,86
DC4,DC10,2021/12/3,363
DC7,DC4,2021/12/3,30
DC7,DC8,2021/12/3,3300
DC7,DC10,2021/12/3,791
DC8,DC4,2021/12/3,371
DC8,DC9,2021/12/3,3
DC8,DC10,2021/12/3,20012
DC10,DC4,2021/12/3,78147
DC10,DC8,2021/12/3,782
DC4,DC8,2021/12/4,3
DC4,DC10,2021/12/4,5
DC7,DC4,2021/12/4,19
DC7,DC8,2021/12/4,1693
DC7,DC10,2021/12/4,757
DC8,DC4,2021/12/4,138
DC8,DC10,2021/12/4,23649
DC10,DC4,2021/12/4,26298
DC10,DC8,2021/12/4,197
DC4,DC10,2021/12/5,7
DC7,DC4,2021/12/5,16
DC7,DC8,2021/12/5,1467
DC7,DC10,2021/12/5,292
DC8,DC4,2021/12/5,141
DC8,DC10,2021/12/5,16561
DC10,DC4,2021/12/5,36712
DC10,DC8,2021/12/5,154
DC4,DC8,2021/12/6,67
DC4,DC10,2021/12/6,171
DC7,DC4,2021/12/6,11
DC7,DC8,2021/12/6,2663
DC7,DC10,2021/12/6,932
DC8,DC4,2021/12/6,289
DC8,DC10,2021/12/6,14795
DC10,DC4,2021/12/6,56930
DC10,DC8,2021/12/6,269
DC4,DC8,2021/12/7,38
DC4,DC10,2021/12/7,259
DC7,DC4,2021/12/7,13
DC7,DC8,2021/12/7,1722
DC7,DC10,2021/12/7,2008
DC8,DC4,2021/12/7,212
DC8,DC10,2021/12/7,18262
DC10,DC4,2021/12/7,61312
DC10,DC8,2021/12/7,285
DC4,DC8,2021/12/8,85
DC4,DC10,2021/12/8,302
DC7,DC4,2021/12/8,13
DC7,DC8,2021/12/8,2803
DC7,DC10,2021/12/8,838
DC8,DC4,2021/12/8,496
DC8,DC10,2021/12/8,15272
DC10,DC4,2021/12/8,52037
DC10,DC8,2021/12/8,560
DC4,DC8,2021/12/9,43
DC4,DC10,2021/12/9,367
DC7,DC4,2021/12/9,14
DC7,DC8,2021/12/9,2036
DC7,DC10,2021/12/9,1759
DC8,DC4,2021/12/9,188
DC8,DC9,2021/12/9,1
DC8,DC10,2021/12/9,11828
DC10,DC4,2021/12/9,54688
DC10,DC8,2021/12/9,777
DC4,DC8,2021/12/10,53
DC4,DC10,2021/12/10,425
DC7,DC4,2021/12/10,11
DC7,DC8,2021/12/10,1490
DC7,DC10,2021/12/10,723
DC8,DC4,2021/12/10,269
DC8,DC10,2021/12/10,19806
DC10,DC4,2021/12/10,75295
DC10,DC8,2021/12/10,640
DC4,DC8,2021/12/11,7
DC4,DC10,2021/12/11,7
DC7,DC4,2021/12/11,20
DC7,DC8,2021/12/11,2456
DC7,DC10,2021/12/11,519
DC8,DC4,2021/12/11,233
DC8,DC10,2021/12/11,11636
DC10,DC4,2021/12/11,24747
DC10,DC8,2021/12/11,504
DC10,DC9,2021/12/11,2
DC4,DC8,2021/12/12,17
DC4,DC10,2021/12/12,8
DC7,DC4,2021/12/12,31
DC7,DC8,2021/12/12,2084
DC7,DC10,2021/12/12,689
DC8,DC4,2021/12/12,141
DC8,DC10,2021/12/12,27921
DC10,DC4,2021/12/12,34966
DC10,DC8,2021/12/12,475
DC4,DC8,2021/12/13,69
DC4,DC10,2021/12/13,253
DC7,DC4,2021/12/13,23
DC7,DC8,2021/12/13,1358
DC7,DC10,2021/12/13,1550
DC8,DC4,2021/12/13,552
DC8,DC10,2021/12/13,21534
DC10,DC4,2021/12/13,83249
DC10,DC8,2021/12/13,291
DC4,DC8,2021/12/14,72
DC4,DC10,2021/12/14,438
DC7,DC4,2021/12/14,8
DC7,DC8,2021/12/14,3156
DC7,DC10,2021/12/14,794
DC8,DC3,2021/12/14,3
DC8,DC4,2021/12/14,300
DC8,DC9,2021/12/14,10
DC8,DC10,2021/12/14,24523
DC10,DC3,2021/12/14,3
DC10,DC4,2021/12/14,77670
DC10,DC8,2021/12/14,914
DC4,DC8,2021/12/15,115
DC4,DC10,2021/12/15,266
DC7,DC4,2021/12/15,10
DC7,DC8,2021/12/15,2072
DC7,DC10,2021/12/15,666
DC8,DC4,2021/12/15,472
DC8,DC10,2021/12/15,16905
DC10,DC4,2021/12/15,51539
DC10,DC8,2021/12/15,263
DC4,DC8,2021/12/16,35
DC4,DC10,2021/12/16,219
DC7,DC4,2021/12/16,29
DC7,DC8,2021/12/16,3141
DC7,DC10,2021/12/16,975
DC8,DC4,2021/12/16,405
DC8,DC9,2021/12/16,1
DC8,DC10,2021/12/16,32688
DC10,DC4,2021/12/16,45437
DC10,DC8,2021/12/16,759
DC4,DC8,2021/12/17,46
DC4,DC10,2021/12/17,322
DC7,DC4,2021/12/17,9
DC7,DC8,2021/12/17,3009
DC7,DC10,2021/12/17,892
DC8,DC4,2021/12/17,494
DC8,DC9,2021/12/17,1
DC8,DC10,2021/12/17,22596
DC10,DC4,2021/12/17,50470
DC10,DC8,2021/12/17,623
DC4,DC8,2021/12/18,2
DC4,DC10,2021/12/18,15
DC7,DC4,2021/12/18,11
DC7,DC8,2021/12/18,3831
DC7,DC10,2021/12/18,696
DC8,DC4,2021/12/18,157
DC8,DC10,2021/12/18,22427
DC10,DC4,2021/12/18,18565
DC10,DC8,2021/12/18,634
DC4,DC10,2021/12/19,10
DC7,DC4,2021/12/19,11
DC7,DC8,2021/12/19,1773
DC7,DC10,2021/12/19,752
DC8,DC4,2021/12/19,141
DC8,DC10,2021/12/19,9393
DC10,DC4,2021/12/19,47845
DC10,DC8,2021/12/19,477
DC4,DC8,2021/12/20,242
DC4,DC10,2021/12/20,355
DC7,DC4,2021/12/20,14
DC7,DC8,2021/12/20,1267
DC7,DC10,2021/12/20,1558
DC8,DC4,2021/12/20,315
DC8,DC9,2021/12/20,4
DC8,DC10,2021/12/20,32335
DC10,DC4,2021/12/20,62889
DC10,DC8,2021/12/20,412
DC4,DC8,2021/12/21,65
DC4,DC10,2021/12/21,341
DC7,DC4,2021/12/21,12
DC7,DC8,2021/12/21,1331
DC7,DC10,2021/12/21,641
DC8,DC4,2021/12/21,479
DC8,DC10,2021/12/21,20572
DC10,DC4,2021/12/21,49684
DC10,DC8,2021/12/21,530
DC4,DC8,2021/12/22,88
DC4,DC10,2021/12/22,503
DC7,DC4,2021/12/22,4
DC7,DC8,2021/12/22,2697
DC7,DC10,2021/12/22,985
DC8,DC4,2021/12/22,382
DC8,DC10,2021/12/22,15872
DC10,DC4,2021/12/22,36781
DC10,DC8,2021/12/22,605
DC4,DC8,2021/12/23,112
DC4,DC10,2021/12/23,442
DC7,DC4,2021/12/23,9
DC7,DC8,2021/12/23,1618
DC7,DC10,2021/12/23,694
DC8,DC4,2021/12/23,485
DC8,DC10,2021/12/23,26145
DC10,DC4,2021/12/23,75279
DC10,DC8,2021/12/23,609
DC4,DC8,2021/12/24,96
DC4,DC10,2021/12/24,394
DC7,DC4,2021/12/24,10
DC7,DC8,2021/12/24,3632
DC7,DC10,2021/12/24,692
DC8,DC4,2021/12/24,358
DC8,DC10,2021/12/24,8967
DC10,DC4,2021/12/24,84169
DC10,DC8,2021/12/24,288
DC4,DC8,2021/12/25,4
DC4,DC10,2021/12/25,9
DC7,DC4,2021/12/25,3
DC7,DC8,2021/12/25,805
DC7,DC10,2021/12/25,404
DC8,DC4,2021/12/25,222
DC8,DC10,2021/12/25,9820
DC10,DC4,2021/12/25,34612
DC10,DC8,2021/12/25,295
DC4,DC8,2021/12/26,4
DC4,DC10,2021/12/26,64
DC7,DC4,2021/12/26,5
DC7,DC8,2021/12/26,1266
DC7,DC10,2021/12/26,996
DC8,DC4,2021/12/26,184
DC8,DC9,2021/12/26,1
DC8,DC10,2021/12/26,29676
DC10,DC4,2021/12/26,46263
DC10,DC8,2021/12/26,264
DC4,DC8,2021/12/27,114
DC4,DC10,2021/12/27,96
DC7,DC4,2021/12/27,7
DC7,DC8,2021/12/27,1304
DC7,DC10,2021/12/27,940
DC8,DC4,2021/12/27,296
DC8,DC9,2021/12/27,6
DC8,DC10,2021/12/27,15643
DC10,DC4,2021/12/27,54889
DC10,DC8,2021/12/27,796
DC4,DC8,2021/12/28,130
DC4,DC10,2021/12/28,384
DC7,DC4,2021/12/28,9
DC7,DC8,2021/12/28,1653
DC7,DC10,2021/12/28,312
DC8,DC4,2021/12/28,622
DC8,DC9,2021/12/28,3
DC8,DC10,2021/12/28,23455
DC10,DC4,2021/12/28,45519
DC10,DC8,2021/12/28,811
DC4,DC8,2021/12/29,164
DC4,DC10,2021/12/29,307
DC7,DC4,2021/12/29,18
DC7,DC8,2021/12/29,1595
DC7,DC10,2021/12/29,926
DC8,DC4,2021/12/29,269
DC8,DC9,2021/12/29,8
DC8,DC10,2021/12/29,20076
DC10,DC4,2021/12/29,76185
DC10,DC8,2021/12/29,994
DC4,DC8,2021/12/30,86
DC4,DC10,2021/12/30,295
DC7,DC4,2021/12/30,10
DC7,DC8,2021/12/30,2079
DC7,DC10,2021/12/30,479
DC8,DC4,2021/12/30,407
DC8,DC9,2021/12/30,6
DC8,DC10,2021/12/30,18524
DC10,DC4,2021/12/30,124567
DC10,DC8,2021/12/30,544
DC4,DC8,2021/12/31,19
DC4,DC10,2021/12/31,63
DC7,DC4,2021/12/31,3
DC7,DC8,2021/12/31,1767
DC7,DC10,2021/12/31,834
DC8,DC4,2021/12/31,524
DC8,DC9,2021/12/31,5
DC8,DC10,2021/12/31,29239
DC10,DC4,2021/12/31,110092
DC10,DC8,2021/12/31,517
DC4,DC8,2022/1/1,5
DC4,DC10,2022/1/1,30
DC7,DC4,2022/1/1,13
DC7,DC8,2022/1/1,1491
DC7,DC10,2022/1/1,349
DC8,DC4,2022/1/1,359
DC8,DC9,2022/1/1,3
DC8,DC10,2022/1/1,8514
DC10,DC4,2022/1/1,24322
DC10,DC8,2022/1/1,341
DC4,DC10,2022/1/2,2
DC7,DC4,2022/1/2,21
DC7,DC8,2022/1/2,3688
DC7,DC10,2022/1/2,974
DC8,DC4,2022/1/2,231
DC8,DC10,2022/1/2,19889
DC10,DC4,2022/1/2,45959
DC10,DC8,2022/1/2,477
DC4,DC8,2022/1/3,6
DC4,DC10,2022/1/3,12
DC7,DC4,2022/1/3,5
DC7,DC8,2022/1/3,1260
DC7,DC10,2022/1/3,795
DC8,DC4,2022/1/3,319
DC8,DC10,2022/1/3,11653
DC10,DC4,2022/1/3,45118
DC10,DC8,2022/1/3,338
DC4,DC8,2022/1/4,47
DC4,DC10,2022/1/4,38
DC7,DC4,2022/1/4,11
DC7,DC8,2022/1/4,2010
DC7,DC10,2022/1/4,661
DC8,DC4,2022/1/4,280
DC8,DC5,2022/1/4,4
DC8,DC10,2022/1/4,41411
DC10,DC4,2022/1/4,43417
DC10,DC8,2022/1/4,861
DC4,DC8,2022/1/5,124
DC4,DC10,2022/1/5,339
DC7,DC8,2022/1/5,1367
DC7,DC10,2022/1/5,1036
DC8,DC3,2022/1/5,3
DC8,DC4,2022/1/5,198
DC8,DC9,2022/1/5,1
DC8,DC10,2022/1/5,21560
DC10,DC4,2022/1/5,100515
DC10,DC8,2022/1/5,823
DC4,DC8,2022/1/6,40
DC4,DC10,2022/1/6,306
DC7,DC4,2022/1/6,3
DC7,DC8,2022/1/6,3272
DC7,DC10,2022/1/6,3434
DC8,DC4,2022/1/6,912
DC8,DC5,2022/1/6,3
DC8,DC9,2022/1/6,1
DC8,DC10,2022/1/6,30226
DC10,DC4,2022/1/6,36479
DC10,DC8,2022/1/6,461
DC4,DC8,2022/1/7,64
DC4,DC10,2022/1/7,1289
DC7,DC8,2022/1/7,1647
DC7,DC10,2022/1/7,766
DC8,DC4,2022/1/7,2743
DC8,DC10,2022/1/7,18692
DC10,DC4,2022/1/7,68524
DC10,DC8,2022/1/7,716
DC4,DC8,2022/1/8,8
DC4,DC10,2022/1/8,9
DC7,DC8,2022/1/8,3957
DC7,DC10,2022/1/8,1215
DC8,DC4,2022/1/8,402
DC8,DC9,2022/1/8,3
DC8,DC10,2022/1/8,32253
DC10,DC4,2022/1/8,22858
DC10,DC8,2022/1/8,888
DC4,DC8,2022/1/9,2
DC4,DC10,2022/1/9,12
DC7,DC8,2022/1/9,799
DC7,DC10,2022/1/9,278
DC8,DC4,2022/1/9,178
DC8,DC10,2022/1/9,20669
DC10,DC4,2022/1/9,20250
DC10,DC8,2022/1/9,564
DC4,DC8,2022/1/10,81
DC4,DC10,2022/1/10,444
DC7,DC8,2022/1/10,675
DC7,DC10,2022/1/10,696
DC8,DC4,2022/1/10,165
DC8,DC9,2022/1/10,8
DC8,DC10,2022/1/10,48257
DC10,DC4,2022/1/10,79944
DC10,DC8,2022/1/10,593
DC4,DC8,2022/1/11,93
DC4,DC10,2022/1/11,349
DC7,DC8,2022/1/11,1411
DC7,DC10,2022/1/11,896
DC8,DC4,2022/1/11,186
DC8,DC10,2022/1/11,28424
DC10,DC4,2022/1/11,36406
DC10,DC8,2022/1/11,527
DC4,DC8,2022/1/12,104
DC4,DC10,2022/1/12,504
DC7,DC8,2022/1/12,512
DC7,DC10,2022/1/12,295
DC8,DC3,2022/1/12,3
DC8,DC4,2022/1/12,432
DC8,DC9,2022/1/12,3
DC8,DC10,2022/1/12,21570
DC10,DC4,2022/1/12,99725
DC10,DC8,2022/1/12,535
DC4,DC8,2022/1/13,60
DC4,DC10,2022/1/13,468
DC7,DC4,2022/1/13,6
DC7,DC8,2022/1/13,1559
DC7,DC10,2022/1/13,883
DC8,DC4,2022/1/13,1668
DC8,DC10,2022/1/13,24881
DC10,DC4,2022/1/13,48362
DC10,DC8,2022/1/13,1720
DC4,DC8,2022/1/14,87
DC4,DC10,2022/1/14,2428
DC7,DC4,2022/1/14,4
DC7,DC8,2022/1/14,1517
DC7,DC10,2022/1/14,1819
DC8,DC4,2022/1/14,1202
DC8,DC10,2022/1/14,19691
DC10,DC4,2022/1/14,65928
DC10,DC8,2022/1/14,735
DC4,DC10,2022/1/15,78
DC7,DC8,2022/1/15,962
DC7,DC10,2022/1/15,844
DC8,DC4,2022/1/15,1016
DC8,DC10,2022/1/15,20479
DC10,DC4,2022/1/15,33750
DC10,DC8,2022/1/15,478
DC4,DC8,2022/1/16,47
DC4,DC10,2022/1/16,1052
DC7,DC4,2022/1/16,1
DC7,DC8,2022/1/16,1039
DC7,DC10,2022/1/16,791
DC8,DC4,2022/1/16,318
DC8,DC10,2022/1/16,25905
DC10,DC4,2022/1/16,48248
DC10,DC8,2022/1/16,316
DC4,DC8,2022/1/17,85
DC4,DC10,2022/1/17,280
DC7,DC8,2022/1/17,1977
DC7,DC10,2022/1/17,951
DC8,DC4,2022/1/17,335
DC8,DC9,2022/1/17,2
DC8,DC10,2022/1/17,23894
DC10,DC4,2022/1/17,41358
DC10,DC8,2022/1/17,682
DC4,DC8,2022/1/18,172
DC4,DC10,2022/1/18,144
DC7,DC8,2022/1/18,1365
DC7,DC10,2022/1/18,552
DC8,DC4,2022/1/18,674
DC8,DC9,2022/1/18,3
DC8,DC10,2022/1/18,33023
DC10,DC4,2022/1/18,70498
DC10,DC8,2022/1/18,691
DC4,DC8,2022/1/19,128
DC4,DC10,2022/1/19,446
DC7,DC4,2022/1/19,12
DC7,DC8,2022/1/19,982
DC7,DC10,2022/1/19,937
DC8,DC4,2022/1/19,537
DC8,DC10,2022/1/19,21050
DC10,DC4,2022/1/19,114573
DC10,DC8,2022/1/19,1382
DC4,DC8,2022/1/20,325
DC4,DC10,2022/1/20,5236
DC7,DC4,2022/1/20,2
DC7,DC8,2022/1/20,1592
DC7,DC10,2022/1/20,562
DC8,DC4,2022/1/20,1841
DC8,DC9,2022/1/20,2
DC8,DC10,2022/1/20,61979
DC10,DC4,2022/1/20,96804
DC10,DC8,2022/1/20,1075
DC4,DC8,2022/1/21,200
DC4,DC10,2022/1/21,12360
DC7,DC4,2022/1/21,5
DC7,DC8,2022/1/21,1674
DC7,DC10,2022/1/21,640
DC8,DC4,2022/1/21,621
DC8,DC9,2022/1/21,7
DC8,DC10,2022/1/21,30119
DC10,DC4,2022/1/21,78684
DC10,DC8,2022/1/21,1548
DC4,DC8,2022/1/22,87
DC4,DC10,2022/1/22,5821
DC7,DC4,2022/1/22,2
DC7,DC8,2022/1/22,1634
DC7,DC10,2022/1/22,788
DC8,DC4,2022/1/22,774
DC8,DC10,2022/1/22,21751
DC10,DC4,2022/1/22,118145
DC10,DC8,2022/1/22,1308
DC4,DC8,2022/1/23,247
DC4,DC10,2022/1/23,5268
DC7,DC4,2022/1/23,7
DC7,DC8,2022/1/23,2033
DC7,DC10,2022/1/23,979
DC8,DC4,2022/1/23,1236
DC8,DC10,2022/1/23,25019
DC10,DC4,2022/1/23,72204
DC10,DC8,2022/1/23,557
DC4,DC8,2022/1/24,354
DC4,DC10,2022/1/24,5983
DC7,DC8,2022/1/24,1008
DC7,DC10,2022/1/24,477
DC8,DC4,2022/1/24,942
DC8,DC9,2022/1/24,1
DC8,DC10,2022/1/24,28859
DC10,DC4,2022/1/24,114467
DC10,DC8,2022/1/24,1528
DC4,DC8,2022/1/25,295
DC4,DC10,2022/1/25,3046
DC7,DC4,2022/1/25,2
DC7,DC8,2022/1/25,1258
DC7,DC10,2022/1/25,711
DC8,DC4,2022/1/25,1032
